study ID,flare times,GOES class,hpc x,hpc y,EIS xcen,EIS ycen,EIS fovx,EIS fovy,target,stud_acr,filename,EIS xmin,EIS xmax,EIS ymin,EIS ymax
520,2017-04-01 04:13:26,B6.4,-14.779393187956885,-64.35038894177264,-44.68429946899414,-211.18899536132807,119.80799865722656,512.0,Active Region,HPW021VEL120x512v1_b,eis_20170401_041326.data.h5,-104.58829879760742,15.21969985961914,-467.18899536132807,44.81100463867193
568,2017-04-20 10:42:43,B2.6,-726.3790892462712,273.82202843546014,-779.1069946289062,204.00799560546875,260.5820007324219,512.0,Active Region,HPW021VEL260x512v1,eis_20170420_104243.data.h5,-909.3979949951172,-648.8159942626953,-51.99200439453125,460.00799560546875
404,2017-04-22 14:03:42,B2.1,-334.46603611228056,292.0844813911482,-308.9179992675781,223.79200744628903,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20170422_140342.data.h5,-368.8219985961914,-249.01399993896484,143.79200744628903,303.79200744628906
568,2017-05-26 00:50:39,B1.8,483.2677734477508,232.3125917015518,430.5669860839844,174.36900329589844,260.5820007324219,512.0,Active Region,HPW021VEL260x512v1,eis_20170526_005039.data.h5,300.27598571777344,560.8579864501953,-81.63099670410156,430.36900329589844
404,2017-05-28 00:23:17,B3.8,765.7632380239985,242.88366981038843,746.93798828125,163.71299743652344,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20170528_002317.data.h5,687.0339889526367,806.8419876098633,83.71299743652344,243.71299743652344
568,2017-05-28 11:51:46,B6.6,817.966000164215,240.35771104435787,801.2069702148438,160.47300720214844,260.5820007324219,512.0,Active Region,HPW021VEL260x512v1,eis_20170528_115146.data.h5,670.9159698486328,931.4979705810547,-95.52699279785156,416.47300720214844
403,2017-05-28 15:20:42,B3.0,835.3599089404296,236.7161752225876,816.0560302734375,159.6230010986328,119.80799865722656,160.0,Quiet Sun,Atlas_30,eis_20170528_152042.data.h5,756.1520309448242,875.9600296020508,79.62300109863281,239.6230010986328
404,2017-05-29 10:48:25,B2.3,902.5433558502638,225.15253382885592,880.7479858398438,155.9149932861328,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20170529_104825.data.h5,820.8439865112305,940.651985168457,75.91499328613281,235.9149932861328
568,2017-06-03 23:38:40,B6.4,-652.017561793793,107.66502598452809,-695.3670043945312,-77.77069854736328,260.5820007324219,512.0,Active Region,HPW021VEL260x512v1,eis_20170603_233840.data.h5,-825.6580047607422,-565.0760040283203,-333.7706985473633,178.22930145263672
568,2017-06-06 00:49:38,B1.2,-208.3742510958109,95.81620168885186,-312.1059875488281,-81.08820343017578,260.5820007324219,512.0,Active Region,HPW021VEL260x512v1,eis_20170606_004938.data.h5,-442.39698791503906,-181.8149871826172,-337.0882034301758,174.91179656982422
568,2017-06-11 21:48:12,B1.3,849.9855056734083,39.76804058801764,840.0479736328125,-23.96319961547852,260.5820007324219,512.0,Active Region,HPW021VEL260x512v1,eis_20170611_214812.data.h5,709.7569732666016,970.3389739990234,-279.9631996154785,232.03680038452148
454,2017-07-02 12:38:11,B3.1,908.3178901446572,273.5206718321642,865.6849975585938,201.52099609375,302.5150146484375,384.0,Active Region,GDZ_300x384_S2S3_40,eis_20170702_123811.data.h5,714.427490234375,1016.9425048828125,9.52099609375,393.52099609375
568,2017-07-03 15:09:12,M1.3,949.8033643337212,56.182500063456295,890.39599609375,143.44400024414062,260.5820007324219,512.0,Active Region,HPW021VEL260x512v1,eis_20170703_150912.data.h5,760.1049957275391,1020.6869964599609,-112.55599975585938,399.4440002441406
568,2017-07-04 04:13:12,C1.1,958.1658747701828,39.95774773661624,890.4730224609375,143.44400024414062,260.5820007324219,512.0,Active Region,HPW021VEL260x512v1,eis_20170704_041312.data.h5,760.1820220947266,1020.7640228271484,-112.55599975585938,399.4440002441406
544,2017-07-05 12:59:10,B3.5,-655.9250170206651,-377.44047896149,-532.1519775390625,-361.7000122070313,491.2130126953125,512.0,Quiet Sun,DHB_007,eis_20170705_125910.data.h5,-777.7584838867188,-286.54547119140625,-617.7000122070312,-105.7000122070313
544,2017-07-09 00:35:43,B6.6,-569.0369114333298,-158.02869615706643,-580.010009765625,-247.60899353027344,491.2130126953125,512.0,Quiet Sun,DHB_007,eis_20170709_003543.data.h5,-825.6165161132812,-334.40350341796875,-503.60899353027344,8.391006469726562
544,2017-07-09 02:19:01,B3.4,-563.0246850247495,-153.24107893731892,-567.6500244140625,-248.30499267578125,491.2130126953125,512.0,Quiet Sun,DHB_007,eis_20170709_021901.data.h5,-813.2565307617188,-322.04351806640625,-504.30499267578125,7.69500732421875
544,2017-07-09 10:26:09,B9.8,-504.30975768039934,-192.9893727884764,-507.62799072265625,-251.3939971923828,491.2130126953125,512.0,Quiet Sun,DHB_007,eis_20170709_102609.data.h5,-753.2344970703125,-262.021484375,-507.3939971923828,4.6060028076171875
544,2017-07-09 12:03:58,C5.3,-498.2929137351457,-186.40250358097543,-495.1919860839844,-252.08999633789065,491.2130126953125,512.0,Quiet Sun,DHB_007,eis_20170709_120358.data.h5,-740.7984924316406,-249.58547973632812,-508.0899963378906,3.9100036621093466
544,2017-07-09 13:42:24,B4.4,-474.8437984928023,-167.85653928637078,-482.5230102539063,-252.78500366210935,491.2130126953125,512.0,Quiet Sun,DHB_007,eis_20170709_134224.data.h5,-728.1295166015625,-236.91650390625006,-508.7850036621094,3.2149963378906534
