study ID,eis filename time,GOES class,hpc x,hpc y,EIS xcen,EIS ycen,EIS fovx,EIS fovy,target,stud_acr,filename,EIS xmin,EIS xmax,EIS ymin,EIS ymax,Start Time_x,Peak Time_x,End Time_x,Start Time_y,Peak Time_y,End Time_y
404,2016-05-14 07:07:19,B7.6,751.0119812732403,172.8589431556815,765.4769897460938,170.86599731445312,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20160514_070719.data.h5,705.5729904174805,825.380989074707,90.86599731445312,250.86599731445312,2016-05-14 07:44:00.000,2016-05-14 07:52:00.000,2016-05-14 07:58:00.000,2016-05-14 07:44:00.000,2016-05-14 07:52:00.000,2016-05-14 07:58:00.000
404,2016-05-20 00:50:51,B2.6,-127.52061825594863,-66.27603050989268,-75.61029815673828,-121.7689971923828,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20160520_005051.data.h5,-135.51429748535156,-15.706298828125,-201.7689971923828,-41.7689971923828,2016-05-20 00:55:00.000,2016-05-20 00:59:00.000,2016-05-20 01:02:00.000,2016-05-20 00:55:00.000,2016-05-20 00:59:00.000,2016-05-20 01:02:00.000
403,2016-07-20 02:37:43,C1.6,473.4649406454794,-26.492045162640697,477.135009765625,-47.88100051879883,119.80799865722656,160.0,Quiet Sun,Atlas_30,eis_20160720_023743.data.h5,417.2310104370117,537.0390090942383,-127.88100051879884,32.11899948120117,2016-07-20 02:40:00.000,2016-07-20 02:49:00.000,2016-07-20 02:59:00.000,2016-07-20 02:40:00.000,2016-07-20 02:49:00.000,2016-07-20 02:59:00.000
404,2016-09-27 12:25:27,B2.5,673.7532843798335,-307.4932187224893,680.5910034179688,-342.1409912109375,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20160927_122527.data.h5,620.6870040893555,740.495002746582,-422.1409912109375,-262.1409912109375,2016-09-27 12:49:00.000,2016-09-27 12:54:00.000,2016-09-27 12:58:00.000,2016-09-27 12:49:00.000,2016-09-27 12:54:00.000,2016-09-27 12:58:00.000
404,2016-10-14 11:05:26,B9.4,869.1024324706174,-250.9218088135568,825.4429931640625,-300.17999267578125,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20161014_110526.data.h5,765.5389938354492,885.3469924926758,-380.1799926757813,-220.17999267578125,2016-10-14 11:19:00.000,2016-10-14 11:26:00.000,2016-10-14 11:33:00.000,2016-10-14 11:19:00.000,2016-10-14 11:26:00.000,2016-10-14 11:33:00.000
404,2016-11-30 14:07:02,C1.0,-665.1394828476477,-133.80016389826028,-693.8809814453125,-166.5050048828125,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20161130_140702.data.h5,-753.7849807739258,-633.9769821166992,-246.5050048828125,-86.5050048828125,2016-11-30 15:00:00.000,2016-11-30 15:07:00.000,2016-11-30 15:11:00.000,2016-11-30 15:00:00.000,2016-11-30 15:07:00.000,2016-11-30 15:11:00.000
404,2017-04-22 14:03:42,B2.1,-334.46603611228056,292.0844813911482,-308.9179992675781,223.79200744628903,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20170422_140342.data.h5,-368.8219985961914,-249.01399993896484,143.79200744628903,303.79200744628906,2017-04-22 14:52:00.000,2017-04-22 14:58:00.000,2017-04-22 15:01:00.000,2017-04-22 14:52:00.000,2017-04-22 14:58:00.000,2017-04-22 15:01:00.000
404,2017-05-28 00:23:17,B3.8,765.7632380239985,242.88366981038843,746.93798828125,163.71299743652344,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20170528_002317.data.h5,687.0339889526367,806.8419876098633,83.71299743652344,243.71299743652344,2017-05-28 00:55:00.000,2017-05-28 01:00:00.000,2017-05-28 01:03:00.000,2017-05-28 00:55:00.000,2017-05-28 01:00:00.000,2017-05-28 01:03:00.000
403,2017-05-28 15:20:42,B3.0,835.3599089404296,236.7161752225876,816.0560302734375,159.6230010986328,119.80799865722656,160.0,Quiet Sun,Atlas_30,eis_20170528_152042.data.h5,756.1520309448242,875.9600296020508,79.62300109863281,239.6230010986328,2017-05-28 15:42:00.000,2017-05-28 15:52:00.000,2017-05-28 15:57:00.000,2017-05-28 15:42:00.000,2017-05-28 15:52:00.000,2017-05-28 15:57:00.000
404,2017-05-29 10:48:25,B2.3,902.5433558502638,225.15253382885592,880.7479858398438,155.9149932861328,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20170529_104825.data.h5,820.8439865112305,940.651985168457,75.91499328613281,235.9149932861328,2017-05-29 11:35:00.000,2017-05-29 11:41:00.000,2017-05-29 11:47:00.000,2017-05-29 11:35:00.000,2017-05-29 11:41:00.000,2017-05-29 11:47:00.000
404,2015-05-10 13:09:33,C2.2,-296.54780578194186,270.9776586249295,-250.33999633789065,207.8730010986328,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20150510_130933.data.h5,-310.2439956665039,-190.43599700927737,127.8730010986328,287.8730010986328,2015-05-10 12:45:00.000,2015-05-10 13:03:00.000,2015-05-10 13:23:00.000,2015-05-10 12:45:00.000,2015-05-10 13:03:00.000,2015-05-10 13:23:00.000
404,2015-06-21 02:08:34,M2.7,-246.41236079484224,149.40745471307824,-265.7080078125,214.8979949951172,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20150621_020834.data.h5,-325.6120071411133,-205.80400848388672,134.8979949951172,294.8979949951172,2015-06-21 02:04:00.000,2015-06-21 02:34:00.000,2015-06-21 03:11:00.000,2015-06-21 02:04:00.000,2015-06-21 02:34:00.000,2015-06-21 03:11:00.000
404,2015-12-16 04:47:27,B7.0,6.081071733721684,-279.08394253468487,20.95949935913086,-227.6280059814453,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20151216_044727.data.h5,-38.94449996948242,80.86349868774414,-307.6280059814453,-147.6280059814453,2015-12-16 05:44:00.000,2015-12-16 05:48:00.000,2015-12-16 05:53:00.000,2015-12-16 05:44:00.000,2015-12-16 05:48:00.000,2015-12-16 05:53:00.000
403,2014-01-08 12:01:32,C3.6,190.24960541523424,-91.313892835041,133.00999450683594,-93.35160064697266,119.80799865722656,160.0,Quiet Sun,Atlas_30,eis_20140108_120132.data.h5,73.10599517822266,192.9139938354492,-173.35160064697266,-13.351600646972656,2014-01-08 11:56:00.000,2014-01-08 12:04:00.000,2014-01-08 12:17:00.000,2014-01-08 11:56:00.000,2014-01-08 12:04:00.000,2014-01-08 12:17:00.000
403,2014-01-11 12:30:27,C6.5,692.6250751692701,-128.32185974786492,635.1370239257812,-108.7689971923828,119.80799865722656,160.0,Quiet Sun,Atlas_30,eis_20140111_123027.data.h5,575.233024597168,695.0410232543945,-188.7689971923828,-28.7689971923828,2014-01-11 13:00:00.000,2014-01-11 13:10:00.000,2014-01-11 13:22:00.000,2014-01-11 13:00:00.000,2014-01-11 13:10:00.000,2014-01-11 13:22:00.000
404,2014-08-07 03:09:13,B7.7,297.3592387988452,-392.6580562021467,289.5899963378906,-439.2799987792969,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20140807_030913.data.h5,229.68599700927737,349.4939956665039,-519.2799987792969,-359.2799987792969,2014-08-07 03:05:00.000,2014-08-07 03:09:00.000,2014-08-07 03:17:00.000,2014-08-07 03:05:00.000,2014-08-07 03:09:00.000,2014-08-07 03:17:00.000
403,2014-08-15 02:27:25,B6.2,-466.3911544245202,175.75786324564618,-456.4620056152344,117.40699768066406,119.80799865722656,160.0,Quiet Sun,Atlas_30,eis_20140815_022725.data.h5,-516.3660049438477,-396.5580062866211,37.40699768066406,197.4069976806641,2014-08-15 02:34:00.000,2014-08-15 02:39:00.000,2014-08-15 02:47:00.000,2014-08-15 02:34:00.000,2014-08-15 02:39:00.000,2014-08-15 02:47:00.000
404,2011-03-19 15:34:09,B2.7,320.21186130693707,296.9031652435007,356.6090087890625,331.4330139160156,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20110319_153409.data.h5,296.7050094604492,416.5130081176758,251.4330139160156,411.4330139160156,2011-03-19 16:21:00.000,2011-03-19 16:34:00.000,2011-03-19 16:52:00.000,2011-03-19 16:21:00.000,2011-03-19 16:34:00.000,2011-03-19 16:52:00.000
404,2011-04-11 13:23:00,B7.2,-502.1423765264917,297.17290806955776,-534.364990234375,301.614990234375,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20110411_132300.data.h5,-594.2689895629883,-474.4609909057617,221.614990234375,381.614990234375,2011-04-11 12:49:00.000,2011-04-11 13:10:00.000,2011-04-11 13:26:00.000,2011-04-11 12:49:00.000,2011-04-11 13:10:00.000,2011-04-11 13:26:00.000
404,2011-04-15 02:30:26,B8.8,222.237960034194,317.0385804396353,198.8679962158203,304.39599609375,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20110415_023026.data.h5,138.96399688720703,258.7719955444336,224.39599609375,384.39599609375,2011-04-15 02:43:00.000,2011-04-15 02:47:00.000,2011-04-15 02:52:00.000,2011-04-15 02:43:00.000,2011-04-15 02:47:00.000,2011-04-15 02:52:00.000
404,2011-07-11 00:29:26,B3.6,214.4748069982344,-361.7152961797584,236.6439971923828,-405.8179931640625,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20110711_002926.data.h5,176.73999786376953,296.5479965209961,-485.8179931640625,-325.8179931640625,2011-07-11 01:12:00.000,2011-07-11 01:17:00.000,2011-07-11 01:20:00.000,2011-07-11 01:12:00.000,2011-07-11 01:17:00.000,2011-07-11 01:20:00.000
403,2013-01-12 19:08:20,C3.9,-286.55507345334627,141.53360942992597,-323.7860107421875,195.2969970703125,119.80799865722656,160.0,Quiet Sun,Atlas_30,eis_20130112_190820.data.h5,-383.6900100708008,-263.8820114135742,115.2969970703125,275.2969970703125,2013-01-12 19:26:00.000,2013-01-12 19:33:00.000,2013-01-12 19:38:00.000,2013-01-12 19:26:00.000,2013-01-12 19:33:00.000,2013-01-12 19:38:00.000
404,2013-08-02 10:48:10,B9.7,191.1786214665235,-343.9863568099749,140.58099365234375,-389.4419860839844,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20130802_104810.data.h5,80.67699432373047,200.48499298095703,-469.4419860839844,-309.4419860839844,2013-08-02 11:08:00.000,2013-08-02 11:15:00.000,2013-08-02 11:24:00.000,2013-08-02 11:08:00.000,2013-08-02 11:15:00.000,2013-08-02 11:24:00.000
403,2013-12-28 10:38:41,C1.2,491.6499010615067,-295.9647374881515,439.6470031738281,-239.0410003662109,119.80799865722656,160.0,Quiet Sun,Atlas_30,eis_20131228_103841.data.h5,379.7430038452149,499.5510025024414,-319.04100036621094,-159.0410003662109,2013-12-28 11:00:00.000,2013-12-28 11:18:00.000,2013-12-28 11:32:00.000,2013-12-28 11:00:00.000,2013-12-28 11:18:00.000,2013-12-28 11:32:00.000
404,2012-06-13 11:05:35,M1.2,-323.55629584146664,-315.19855651292136,-345.7699890136719,-333.7460021972656,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20120613_110535.data.h5,-405.6739883422851,-285.8659896850586,-413.7460021972656,-253.7460021972656,2012-06-13 11:29:00.000,2012-06-13 13:17:00.000,2012-06-13 14:31:00.000,2012-06-13 11:29:00.000,2012-06-13 13:17:00.000,2012-06-13 14:31:00.000
