Start Time,Peak Time,End Time,GOES Class,hpc_x,hpc_y
2024-01-07 17:41:00.000,2024-01-07 17:44:00.000,2024-01-07 17:49:00.000,C3.8,0.0,63.334962
2024-01-08 02:48:00.000,2024-01-08 02:52:00.000,2024-01-08 02:59:00.000,C2.4,0.0,64.050702
2024-01-08 08:00:00.000,2024-01-08 08:07:00.000,2024-01-08 08:13:00.000,C1.7,0.0,64.457622
2024-01-08 08:13:00.000,2024-01-08 08:24:00.000,2024-01-08 08:38:00.000,C2.8,0.0,64.474554
2024-01-08 09:46:00.000,2024-01-08 09:59:00.000,2024-01-08 10:15:00.000,C7.3,0.0,64.595646
2024-01-09 02:43:00.000,2024-01-09 02:49:00.000,2024-01-09 02:55:00.000,C1.9,0.0,65.914152
2024-01-09 04:01:00.000,2024-01-09 04:11:00.000,2024-01-09 04:14:00.000,C3.1,0.0,66.014844
2024-01-09 08:36:00.000,2024-01-09 08:50:00.000,2024-01-09 08:59:00.000,C2.5,0.0,66.369336
2024-01-09 11:07:00.000,2024-01-09 11:23:00.000,2024-01-09 11:34:00.000,C3.8,0.0,66.563658
2024-01-09 14:46:00.000,2024-01-09 14:54:00.000,2024-01-09 14:57:00.000,C1.9,0.0,66.845064
2024-01-09 14:57:00.000,2024-01-09 15:03:00.000,2024-01-09 15:07:00.000,C1.9,0.0,66.859182
2024-01-09 17:02:00.000,2024-01-09 17:10:00.000,2024-01-09 17:19:00.000,C2.7,0.0,67.019562
2024-01-09 19:00:00.000,2024-01-09 19:05:00.000,2024-01-09 19:13:00.000,C1.8,0.0,67.170816
2024-01-09 19:32:00.000,2024-01-09 19:36:00.000,2024-01-09 19:43:00.000,C3.9,0.0,67.211808
2024-01-10 02:02:00.000,2024-01-10 02:12:00.000,2024-01-10 02:30:00.000,C3.3,0.0,67.710534
2024-01-10 02:40:00.000,2024-01-10 02:46:00.000,2024-01-10 02:50:00.000,C3.2,0.0,67.759038
2024-01-10 03:07:00.000,2024-01-10 03:16:00.000,2024-01-10 03:18:00.000,C5.4,0.0,67.793496
2024-01-10 03:18:00.000,2024-01-10 03:25:00.000,2024-01-10 03:29:00.000,C9.6,0.0,67.807536
2024-01-10 04:29:00.000,2024-01-10 04:33:00.000,2024-01-10 04:37:00.000,C7.0,0.0,67.8981
2024-01-10 05:33:00.000,2024-01-10 05:45:00.000,2024-01-10 06:02:00.000,C7.0,0.0,67.979688
2024-01-10 06:48:00.000,2024-01-10 06:56:00.000,2024-01-10 07:03:00.000,C6.6,0.0,68.075244
2024-01-10 08:56:00.000,2024-01-10 09:03:00.000,2024-01-10 09:23:00.000,C3.5,0.0,68.238192
2024-01-10 09:59:00.000,2024-01-10 10:06:00.000,2024-01-10 10:10:00.000,C5.2,0.0,68.318328
2024-01-10 12:39:00.000,2024-01-10 12:55:00.000,2024-01-10 13:05:00.000,M1.4,0.0,68.521662
2024-01-10 14:12:00.000,2024-01-10 14:27:00.000,2024-01-10 14:41:00.000,C4.5,0.0,68.639718
2024-01-10 15:10:00.000,2024-01-10 15:15:00.000,2024-01-10 15:20:00.000,C4.0,0.0,68.713302
2024-01-11 01:08:00.000,2024-01-11 01:12:00.000,2024-01-11 01:18:00.000,C5.2,0.0,69.469848
2024-01-11 03:39:00.000,2024-01-11 03:43:00.000,2024-01-11 03:48:00.000,C4.6,0.0,69.66027
2024-01-11 04:06:00.000,2024-01-11 04:15:00.000,2024-01-11 04:22:00.000,C3.1,0.0,69.694296
